full_text,cleaned_text,translated_text,stopwords,tweet_tokenize,tokens_lemmatized
sicepat bisa tidak lu jangan lambat,bisa tidak lu jangan lambat,can you not be slow,slow,['slow'],['slow']
sumpah saya tadi kesel sm orang terus pasrah bangsattt orgnya tbtb kecelakaan ajg kmrn ada orang jg sempet marahin saya pdhl saya diem doang bsk paginya langsung ilang ktmnya bro karma is more faster than sicepat,sumpah saya tadi kesel sm orang terus pasrah bangsattt orgnya tbtb kecelakaan ajg kmrn ada orang jg sempet marahin saya pdhl saya diem doang bsk paginya langsung ilang ktmnya bro karma is more faster than,"i swear i was upset that people continued to surrender the bangsatt org on the accident, there was a person who was also angry with me, i was just staying at the next morning, bro, bro, bro, bro, bro.",swear upset people continued surrender bangsatt org accident person also angry me staying next morning bro bro bro bro bro,"['swear', 'upset', 'people', 'continued', 'surrender', 'bangsatt', 'org', 'accident', 'person', 'also', 'angry', 'me', 'staying', 'next', 'morning', 'bro', 'bro', 'bro', 'bro', 'bro']","['swear', 'upset', 'people', 'continued', 'surrender', 'bangsatt', 'org', 'accident', 'person', 'also', 'angry', 'me', 'stay', 'next', 'morning', 'bro', 'bro', 'bro', 'bro', 'bro']"
sumpah adm sicepat jg responnya gtu kmu sabar yahh,sumpah adm jg responnya gtu kmu sabar yahh,i swear adm also the response is that you are patient,swear adm also response patient,"['swear', 'adm', 'also', 'response', 'patient']","['swear', 'adm', 'also', 'response', 'patient']"
mau tanya kalian yang seller di shopee dan kalau ada buyer pakai jasa ekspedisi sicepat terus misal ngirimnya lebih dari tanggal juni tetapi sudah diatur pengiriman nanti bakal aman tidak ya atau ada efeknya di tokopenghasilan soalnya saya baru bisa kirim tanggal juni,mau tanya kalian yang seller di shopee dan kalau ada buyer pakai jasa ekspedisi terus misal ngirimnya lebih dari tanggal juni tetapi sudah diatur pengiriman nanti bakal aman tidak ya atau ada efeknya di tokopenghasilan soalnya saya baru bisa kirim tanggal juni,"want to ask those of you who are sellers in shopee and if there is a buyer using expedition services, for example sending it more than june but it has been arranged later it will be safe or there is an effect on the income because i can only send the june date",want ask sellers shopee buyer using expedition services example sending june arranged later safe effect income send june date,"['want', 'ask', 'sellers', 'shopee', 'buyer', 'using', 'expedition', 'services', 'example', 'sending', 'june', 'arranged', 'later', 'safe', 'effect', 'income', 'send', 'june', 'date']","['want', 'ask', 'seller', 'shopee', 'buyer', 'use', 'expedition', 'service', 'example', 'send', 'june', 'arrange', 'later', 'safe', 'effect', 'income', 'send', 'june', 'date']"
nih chatku sama sicepat amp seller,nih chatku sama amp seller,here my chat with amp seller,chat amp seller,"['chat', 'amp', 'seller']","['chat', 'amp', 'seller']"
emang ngeselin sangat sumpah deh kak saya pun kesel bgtttt jugaan masalahnya ilangnya dimana juga kita tidak dikasi tahu kan,emang ngeselin sangat sumpah deh kak saya pun kesel bgtttt jugaan masalahnya ilangnya dimana juga kita tidak dikasi tahu kan,"it really said i swear, sis, sis, i was so frustrated by the problem where we were not know",really said swear sis sis frustrated problem know,"['really', 'said', 'swear', 'sis', 'sis', 'frustrated', 'problem', 'know']","['really', 'say', 'swear', 'si', 'si', 'frustrate', 'problem', 'know']"
MASI GALAUIN POCA JH CARLAND YG DIILANGIN SAMA SICEPAT FAAKKKKK,MASI GALAUIN POCA JH CARLAND YG DIILANGIN SAMA FAAKKKKK,still upset jh carland's girlfriend who was eliminated by kk,still upset jh carlands girlfriend eliminated kk,"['still', 'upset', 'jh', 'carlands', 'girlfriend', 'eliminated', 'kk']","['still', 'upset', 'jh', 'carlands', 'girlfriend', 'eliminate', 'kk']"
admin nggak ada rencana tambah ekspedisi yang ngelayanin gratis ongkir selain sama,admin nggak ada rencana tambah ekspedisi yang ngelayanin gratis ongkir selain sama,admin has no plans to add expeditions that are free of free postage other than the same,admin plans add expeditions free free postage,"['admin', 'plans', 'add', 'expeditions', 'free', 'free', 'postage']","['admin', 'plan', 'add', 'expedition', 'free', 'free', 'postage']"
ksian seller pdhl dari    sicepat yang teledor,ksian seller pdhl dari yang teledor,ksian seller pdhl from the careless,ksian seller pdhl careless,"['ksian', 'seller', 'pdhl', 'careless']","['ksian', 'seller', 'pdhl', 'careless']"
beli tempered glass di shopee pas nyampe patah HIKS kalau begini bagaimana seller sudah bubble wrap mantep sampe ada selotip fragilenya tetapi pas nyampe dusnya bengkok,beli tempered glass di shopee pas nyampe patah HIKS kalau begini bagaimana seller sudah bubble wrap mantep sampe ada selotip fragilenya tetapi pas nyampe dusnya bengkok,buy tempered glass in shopee when it arrived at a broken hiks if this is how the seller has bubble wrap is good until there is a fragile tape but when it arrives the bent.,buy tempered glass shopee arrived broken hiks seller bubble wrap good fragile tape arrives bent,"['buy', 'tempered', 'glass', 'shopee', 'arrived', 'broken', 'hiks', 'seller', 'bubble', 'wrap', 'good', 'fragile', 'tape', 'arrives', 'bent']","['buy', 'temper', 'glass', 'shopee', 'arrive', 'broken', 'hiks', 'seller', 'bubble', 'wrap', 'good', 'fragile', 'tape', 'arrives', 'bent']"
