full_text,cleaned_text,translated_text,stopwords,tweet_tokenize,stemmed_data,text_stemmed,pos,neg,neu,label
Pantesan nanti pulang ngantor mau ku anterin saja deh Makasih yaa,Pantesan nanti pulang ngantor mau ku anterin saja deh Makasih yaa,"i wonder i will go home later, i want to wait, thank you",wonder go home later want wait thank,"['wonder', 'go', 'home', 'later', 'want', 'wait', 'thank']","['wonder', 'go', 'home', 'later', 'want', 'wait', 'thank']",wonder go home later want wait thank,0.432,0.0,0.568,positive
Di saya cepett suka banget pakai sicepat,Di saya cepett suka banget pakai,i really like to use it,really like use,"['really', 'like', 'use']","['realli', 'like', 'use']",realli like use,0.556,0.0,0.444,positive
Bantu up juga dong paket dari tanggal Juni sampe tanggal Juni sekarang tidak sampe sampe chat cs sampe datengin ke gudang langsung tidak ada kejelasan di oper sana sini saling lempar ini terakhir update tanggal,Bantu up juga dong paket dari tanggal Juni sampe tanggal Juni sekarang tidak sampe sampe chat cs sampe datengin ke gudang langsung tidak ada kejelasan di oper sana sini saling lempar ini terakhir update tanggal,"also help up the package from june to june now, it does not until cs cs until comes to the warehouse, there is no clarity on the pass here and there, the last update the date",also help package june june now cs cs comes warehouse clarity pass there last update date,"['also', 'help', 'package', 'june', 'june', 'now', 'cs', 'cs', 'comes', 'warehouse', 'clarity', 'pass', 'there', 'last', 'update', 'date']","['also', 'help', 'packag', 'june', 'june', 'now', 'cs', 'cs', 'come', 'warehous', 'clariti', 'pass', 'there', 'last', 'updat', 'date']",also help packag june june now cs cs come warehous clariti pass there last updat date,0.153,0.0,0.847,positive
Nda membantu,Nda membantu,you help,help,['help'],['help'],help,1.0,0.0,0.0,positive
Halo kak kalau status resi seperti ini sudah sampai mana ya Boleh dibantu alamatnya Karena saya mau ambil sendiri kesana,Halo kak kalau status resi seperti ini sudah sampai mana ya Boleh dibantu alamatnya Karena saya mau ambil sendiri kesana,"hello sis, if the receipt status like this has already been able to help the address because i want to take it myself",hello sis receipt status like already able help address want take,"['hello', 'sis', 'receipt', 'status', 'like', 'already', 'able', 'help', 'address', 'want', 'take']","['hello', 'si', 'receipt', 'statu', 'like', 'alreadi', 'abl', 'help', 'address', 'want', 'take']",hello si receipt statu like alreadi abl help address want take,0.448,0.0,0.552,positive
Sicepat halu beneran halu banget ya Allah paket dari malangke rmhku sama jatim sudah semimggu lebih tidak nyampe,halu beneran halu banget ya Allah paket dari malangke rmhku sama jatim sudah semimggu lebih tidak nyampe,"haha really really, yes, god's package from malangke rmhku and jatim is already more than it",haha really really yes gods package malangke rmhku jatim already,"['haha', 'really', 'really', 'yes', 'gods', 'package', 'malangke', 'rmhku', 'jatim', 'already']","['haha', 'realli', 'realli', 'ye', 'god', 'packag', 'malangk', 'rmhku', 'jatim', 'alreadi']",haha realli realli ye god packag malangk rmhku jatim alreadi,0.389,0.0,0.611,positive
ini seperti saya kemarin Jadi buyers saya tidak bisa co karena saya pakai jnt pas saya kasih opsi sicepat baru deh bisa semua,ini seperti saya kemarin Jadi buyers saya tidak bisa co karena saya pakai pas saya kasih opsi baru deh bisa semua,this is like yesterday i was a buyers i couldn't co because i used it when i gave me a new option,like yesterday buyers co used gave new option,"['like', 'yesterday', 'buyers', 'co', 'used', 'gave', 'new', 'option']","['like', 'yesterday', 'buyer', 'co', 'use', 'gave', 'new', 'option']",like yesterday buyer co use gave new option,0.263,0.0,0.737,positive
Semangat banget loh tunggu ya cintaku sudah dikirim pakai sicepat,Semangat banget loh tunggu ya cintaku sudah dikirim pakai,"really excited, wait for my love to be sent using it",really excited wait love sent using,"['really', 'excited', 'wait', 'love', 'sent', 'using']","['realli', 'excit', 'wait', 'love', 'sent', 'use']",realli excit wait love sent use,0.457,0.0,0.543,positive
Pernah seperti begitu juga berarti kebagian kurir yang males kak Untungnya sekarang dah ganti kurir dan sudah disave nomornya jadi kalau ada pick up tinggal wa Kalau dia tidak bisa biasanya suka ngasih nomor kurir yang bisa,Pernah seperti begitu juga berarti kebagian kurir yang males kak Untungnya sekarang dah ganti kurir dan sudah disave nomornya jadi kalau ada pick up tinggal wa Kalau dia tidak bisa biasanya suka ngasih nomor kurir yang bisa,"it was like that, it also means to get a lazy courier sis, now, now i have changed the courier and the number has been served, so if there is a pick up, i just stay, if he can't usually like to give a courier number that can",like that also means get lazy courier sis now changed courier number served pick up stay cant usually like give courier number,"['like', 'that', 'also', 'means', 'get', 'lazy', 'courier', 'sis', 'now', 'changed', 'courier', 'number', 'served', 'pick', 'up', 'stay', 'cant', 'usually', 'like', 'give', 'courier', 'number']","['like', 'that', 'also', 'mean', 'get', 'lazi', 'courier', 'si', 'now', 'chang', 'courier', 'number', 'serv', 'pick', 'up', 'stay', 'cant', 'usual', 'like', 'give', 'courier', 'number']",like that also mean get lazi courier si now chang courier number serv pick up stay cant usual like give courier number,0.202,0.084,0.714,positive
walah enih sicepat kenapa ya,walah enih kenapa ya,"wow, why",wow,['wow'],['wow'],wow,1.0,0.0,0.0,positive
